Epoch 1, Loss: 0.7289, Accuracy: 0.5334
Epoch 2, Loss: 0.6822, Accuracy: 0.5833
Epoch 3, Loss: 0.6574, Accuracy: 0.6118
Epoch 4, Loss: 0.6355, Accuracy: 0.6421
Epoch 5, Loss: 0.6140, Accuracy: 0.6617
Epoch 6, Loss: 0.5975, Accuracy: 0.6766
Epoch 7, Loss: 0.5800, Accuracy: 0.7026
Epoch 8, Loss: 0.5613, Accuracy: 0.7145
Epoch 9, Loss: 0.5456, Accuracy: 0.7380
Epoch 10, Loss: 0.5367, Accuracy: 0.7405
Epoch 11, Loss: 0.5212, Accuracy: 0.7580
Epoch 12, Loss: 0.5132, Accuracy: 0.7661
Epoch 13, Loss: 0.5031, Accuracy: 0.7665
Epoch 14, Loss: 0.4909, Accuracy: 0.7836
Epoch 15, Loss: 0.4926, Accuracy: 0.7904
Epoch 16, Loss: 0.4828, Accuracy: 0.7895
Epoch 17, Loss: 0.4671, Accuracy: 0.7925
Epoch 18, Loss: 0.4619, Accuracy: 0.8010
Epoch 19, Loss: 0.4548, Accuracy: 0.8061
Epoch 20, Loss: 0.4500, Accuracy: 0.8083
Epoch 21, Loss: 0.4425, Accuracy: 0.8125
Epoch 22, Loss: 0.4394, Accuracy: 0.8206
Epoch 23, Loss: 0.4308, Accuracy: 0.8198
Epoch 24, Loss: 0.4349, Accuracy: 0.8172
Epoch 25, Loss: 0.4204, Accuracy: 0.8283
Epoch 26, Loss: 0.4168, Accuracy: 0.8351
Epoch 27, Loss: 0.4165, Accuracy: 0.8274
Epoch 28, Loss: 0.4063, Accuracy: 0.8406
Epoch 29, Loss: 0.4124, Accuracy: 0.8283
Epoch 30, Loss: 0.4073, Accuracy: 0.8364
Epoch 31, Loss: 0.3988, Accuracy: 0.8402
Epoch 32, Loss: 0.4022, Accuracy: 0.8381
Epoch 33, Loss: 0.3999, Accuracy: 0.8415
Epoch 34, Loss: 0.3950, Accuracy: 0.8445
Epoch 35, Loss: 0.3854, Accuracy: 0.8479
Epoch 36, Loss: 0.3863, Accuracy: 0.8483
Epoch 37, Loss: 0.3833, Accuracy: 0.8398
Epoch 38, Loss: 0.3769, Accuracy: 0.8509
Epoch 39, Loss: 0.3698, Accuracy: 0.8526
Epoch 40, Loss: 0.3686, Accuracy: 0.8628
Epoch 41, Loss: 0.3705, Accuracy: 0.8517
Epoch 42, Loss: 0.3648, Accuracy: 0.8607
Epoch 43, Loss: 0.3669, Accuracy: 0.8547
Epoch 44, Loss: 0.3647, Accuracy: 0.8624
Epoch 45, Loss: 0.3630, Accuracy: 0.8568
Epoch 46, Loss: 0.3621, Accuracy: 0.8590
Epoch 47, Loss: 0.3572, Accuracy: 0.8590
Epoch 48, Loss: 0.3557, Accuracy: 0.8654
Epoch 49, Loss: 0.3588, Accuracy: 0.8568
Epoch 50, Loss: 0.3536, Accuracy: 0.8658
Epoch 51, Loss: 0.3476, Accuracy: 0.8675
Epoch 52, Loss: 0.3476, Accuracy: 0.8709
Epoch 53, Loss: 0.3486, Accuracy: 0.8632
Epoch 54, Loss: 0.3454, Accuracy: 0.8671
Epoch 55, Loss: 0.3436, Accuracy: 0.8739
Epoch 56, Loss: 0.3412, Accuracy: 0.8743
Epoch 57, Loss: 0.3410, Accuracy: 0.8709
Epoch 58, Loss: 0.3359, Accuracy: 0.8671
Epoch 59, Loss: 0.3327, Accuracy: 0.8696
Epoch 60, Loss: 0.3331, Accuracy: 0.8726
Epoch 61, Loss: 0.3288, Accuracy: 0.8764
Epoch 62, Loss: 0.3284, Accuracy: 0.8739
Epoch 63, Loss: 0.3305, Accuracy: 0.8722
Epoch 64, Loss: 0.3199, Accuracy: 0.8794
Epoch 65, Loss: 0.3288, Accuracy: 0.8688
Epoch 66, Loss: 0.3322, Accuracy: 0.8743
Epoch 67, Loss: 0.3238, Accuracy: 0.8798
Epoch 68, Loss: 0.3271, Accuracy: 0.8769
Epoch 69, Loss: 0.3234, Accuracy: 0.8735
Epoch 70, Loss: 0.3251, Accuracy: 0.8769
Epoch 71, Loss: 0.3219, Accuracy: 0.8833
Epoch 72, Loss: 0.3165, Accuracy: 0.8790
Epoch 73, Loss: 0.3200, Accuracy: 0.8798
Epoch 74, Loss: 0.3135, Accuracy: 0.8820
Epoch 75, Loss: 0.3180, Accuracy: 0.8764
Epoch 76, Loss: 0.3114, Accuracy: 0.8854
Epoch 77, Loss: 0.3098, Accuracy: 0.8845
Epoch 78, Loss: 0.3140, Accuracy: 0.8862
Epoch 79, Loss: 0.3084, Accuracy: 0.8837
Epoch 80, Loss: 0.3112, Accuracy: 0.8824
Epoch 81, Loss: 0.3022, Accuracy: 0.8871
Epoch 82, Loss: 0.3044, Accuracy: 0.8965
Epoch 83, Loss: 0.3089, Accuracy: 0.8858
Epoch 84, Loss: 0.3051, Accuracy: 0.8858
Epoch 85, Loss: 0.3070, Accuracy: 0.8786
Epoch 86, Loss: 0.3039, Accuracy: 0.8824
Epoch 87, Loss: 0.3011, Accuracy: 0.8896
Epoch 88, Loss: 0.3036, Accuracy: 0.8918
Epoch 89, Loss: 0.2976, Accuracy: 0.8888
Epoch 90, Loss: 0.3021, Accuracy: 0.8901
Epoch 91, Loss: 0.3027, Accuracy: 0.8828
Epoch 92, Loss: 0.2962, Accuracy: 0.8926
Epoch 93, Loss: 0.2992, Accuracy: 0.8867
Epoch 94, Loss: 0.2943, Accuracy: 0.8926
Epoch 95, Loss: 0.2972, Accuracy: 0.8914
Epoch 96, Loss: 0.2961, Accuracy: 0.8896
Epoch 97, Loss: 0.2970, Accuracy: 0.8943
Epoch 98, Loss: 0.2917, Accuracy: 0.8901
Epoch 99, Loss: 0.2960, Accuracy: 0.8884
Epoch 100, Loss: 0.2967, Accuracy: 0.8850
